區域,餐廳名稱,經度,緯度
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,珀塔瑪 牧志市場店,127.6879713,26.2151837
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,珀塔瑪 那霸機場國內線到達大廳店,127.6508027,26.2065616
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,珀塔瑪 那霸機場國際線美食區店,127.6504602,26.2078028
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,燒肉王（那覇久茂地店）,127.6820814,26.2193541
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,燒肉王（沖繩日橋店）,127.7186496,26.1961755
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,燒肉王（那覇新都心店）,127.6906379,26.2284582
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,炭火焼肉専門店 牛皇,127.6815803,26.2178299
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,燒肉本部牧場 那霸店,127.6794203,26.2153519
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,燒肉本部牧場 國際通店,127.6811033,26.2135207
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,目利銀次 新都心店,127.6928864,26.2301233
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,暖暮拉麵 那霸牧志店,127.6873312,26.2178669
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,暖暮拉麵糸滿店,127.6726852,26.1510002
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,琉家拉麵 國際通本店,127.6834725,26.2140732
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,Mazemen Mahoroba 台灣乾拌麵,127.687215,26.2176405
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,Marutama味噌飯屋,127.679864,26.210554
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,魚屋直營食堂,127.6598479,26.1904014
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,Sakanaya Chokuei Shokudo Uomaru,127.6847113,26.2230778
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,幸福鬆餅,127.640567,26.1765151
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,浜邊的茶屋,127.7846459,26.1335308
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,Okinawa Soba & Cafe Yagiya（屋宜家 やぎや）,127.7369419,26.127333
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,Cafe Kurukuma（Cafe薑黃花）,127.8123779,26.1621216
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,oHacorté Izumizaki,127.6791086,26.210674
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,琉球之牛 那霸國際通（3F）,127.6891753,26.2162955
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,傑克牛排館,127.6724952,26.2128953
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,中本天婦羅店,127.7721275,26.1315502
沖繩南部｜ 那霸＆國際通、瀨長島、玉泉洞一帶,大城天婦羅店,127.771141,26.1285246
沖繩中部｜浦添市、北谷町美國村、殘波岬,燒肉王（北谷店）,127.7591385,26.3211344
沖繩中部｜浦添市、北谷町美國村、殘波岬,燒肉王（沖縄美里店）,127.8241365,26.3482742
沖繩中部｜浦添市、北谷町美國村、殘波岬,暖暮拉麵 中城店,127.7735419,26.2530764
沖繩中部｜浦添市、北谷町美國村、殘波岬,暖暮拉麵 沖繩美原店,127.8183983,26.3483952
沖繩中部｜浦添市、北谷町美國村、殘波岬,暖暮拉麵 北谷砂辺店,127.7450324,26.3305812
沖繩中部｜浦添市、北谷町美國村、殘波岬,Houki Boshi 可麗露 港川本店,127.7156565,26.2626869
沖繩中部｜浦添市、北谷町美國村、殘波岬,oHacorte 港川店,127.7153652,26.2624873
沖繩中部｜浦添市、北谷町美國村、殘波岬,雞湯拉麵屋 石工夫,127.7160947,26.2633717
沖繩中部｜浦添市、北谷町美國村、殘波岬,Seaside Cafe Hanon,127.7538499,26.3161628
沖繩中部｜浦添市、北谷町美國村、殘波岬,Taco Rice Cafe Kijimuna,127.7546408,26.3159218
沖繩中部｜浦添市、北谷町美國村、殘波岬,Chatan Dunchi,127.7537217,26.3153165
沖繩中部｜浦添市、北谷町美國村、殘波岬,The Calif Kitchen Okinawa,127.7537565,26.3157304
沖繩中部｜浦添市、北谷町美國村、殘波岬,蒸気海鮮 — Chatan Steam Seafood,127.7536892,26.3202086
沖繩中部｜浦添市、北谷町美國村、殘波岬,琉球之牛 北谷店 (美國村),127.7536529,26.3204651
沖繩中部｜浦添市、北谷町美國村、殘波岬,迴轉壽司市場 美浜店,127.7592467,26.3166986
沖繩中部｜浦添市、北谷町美國村、殘波岬,Mother Coffee,127.7812301,26.3090886
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,燒肉本部牧場 本部總店,127.8854215,26.657838
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,燒肉王（名護店）,127.9803616,26.6061485
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,燒肉本部牧場 名護店,127.9637637,26.6021033
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,暖暮拉麵 名護店,127.9846708,26.5823173
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,琉球の牛 恩納本館,127.8056266,26.4519972
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,琉球の牛 恩納別館,127.8038175,26.4506943
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,元祖海葡萄總店,127.8505469,26.5041478
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,Hawaiian Pancakes House Paanilani,127.8722411,26.508997
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,Yukino,127.9650345,26.5938492
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,百年古家 大家 阿古豬,127.9636717,26.6209963
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,Captain Kangaroo Hamburger,127.8904418,26.6226879
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,海人料理 海邦丸（本店）,127.8836417,26.682195
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,海人料理海邦丸（二店）,127.8776939,26.68523
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,岸本食堂（本店）,127.8958949,26.6603253
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,岸本食堂（八重岳店）,127.9110342,26.6571779
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,古宇利蝦蝦飯,128.0197864,26.6969393
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,食事処 錦屋,128.0197426,26.697656
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,Airando Fiji Restaurant & Cafe,128.0197502,26.69797
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,Shirasa 食堂,128.0166389,26.6966389
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,海人料理 亀ぬ浜,127.857863,26.501421
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,海人食堂,127.7235703,26.3902334
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,披薩喫茶 花人逢,127.9007959,26.6685007
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,King Tacos 金武本店,127.9172771,26.4532829
沖繩北部｜恩納村、名護、本部半島（水族館、古宇利島）,山原蕎麥麵,127.9494745,26.650532
